说	0
的	1
技师	2
车主	3
了	4
是	5
有	6
我	7
这个	8
就	9
问题	10
不	11
你	12
可以	13
吗	14
没有	15
在	16
好	17
也	18
都	19
你好	20
需要	21
故障	22
一下	23
检查	24
发动机	25
什么	26
换	27
就是	28
会	29
更换	30
车	31
正常	32
和	33
如果	34
情况	35
用	36
没	37
机油	38
那	39
还是	40
去	41
您	42
看	43
要	44
对	45
到	46
吧	47
把	48
一个	49
谢谢	50
的话	51
这种	52
电脑	53
现在	54
时候	55
建议	56
不会	57
可能	58
传感器	59
变速箱	60
声音	61
这	62
应该	63
过	64
后	65
怎么	66
清洗	67
有没有	68
下	69
还有	70
出现	71
啊	72
上	73
能	74
检查一下	75
是否	76
是不是	77
或者	78
嗯	79
节气门	80
呢	81
启动	82
多少	83
一般	84
不是	85
影响	86
车子	87
大	88
还	89
码	90
那个	91
跑	92
看看	93
油	94
给	95
这样	96
公里	97
很	98
做	99
然后	100
车辆	101
火花塞	102
请问	103
再	104
师傅	105
左右	106
开	107
位置	108
的
	109
原因	110
但是	111
时	112
保养	113
比较	114
哦	115
感觉	116
一样	117
知道	118
年	119
维修	120
行驶	121
才	122
里面	123
线路	124
先	125
导致	126
轮胎	127
您好	128
又	129
4s店	130
不好	131
压力	132
怠速	133
他	134
开关	135
坏	136
拆	137
刹车	138
电瓶	139
空调	140
修理厂	141
多	142
不能	143
点火	144
使用	145
根据	146
款	147
大师	148
造成	149
汽油	150
抖动	151
新	152
钥匙	153
钱	154
检测	155
系统	156
着	157
地方	158
个	159
灯	160
进行	161
两个	162
显示	163
熄火	164
万公里	165
以后	166
大概	167
不行	168
加	169
直接	170
插头	171
高	172
出来	173
上面	174
买	175
工作	176
档	177
控制	178
这是	179
找	180
打开	181
缸	182
自己	183
线	184
客气	185
匹配	186
跟	187
2	188
喷油嘴	189
想	190
解决	191
一点	192
因为	193
其他	194
哪里	195
一直	196
得	197
关系	198
现象	199
汽车	200
等	201
加油	202
肯定	203
让	204
水温	205
了
	206
起来	207
离合器	208
主要	209
之前	210
处理	211
踩	212
转	213
从	214
不用	215
有点	216
1	217
挂	218
异响	219
方向盘	220
试试	221
皮带	222
具体	223
一次	224
仪表	225
3	226
来	227
气门	228
螺丝	229
么	230
之后	231
自动	232
怎么回事	233
响	234
时间	235
问	236
他们	237
只有	238
不了	239
所以	240
损坏	241
东西	242
油耗	243
最好	244
亮	245
打	246
价格	247
原厂	248
模块	249
只能	250
4S店	251
没事	252
转速	253
油门	254
积碳	255
4	256
重新	257
安装	258
方向	259
今天	260
只要	261
空气	262
确定	263
防冻液	264
描述	265
进气	266
数据	267
点	268
小	269
中	270
信号	271
但	272
它	273
为	274
高速	275
已经	276
我们	277
拆下来	278
发现	279
保险	280
水箱	281
后面	282
一	283
以前	284
底盘	285
5	286
动力	287
修	288
线圈	289
新车	290
出	291
下面	292
门	293
冷车	294
店	295
咨询	296
那么	297
